gmaps_link,name,rating,reviews,address_1,address_2,image
https://www.google.fr/maps/place/BODYHIT+LYON+2+BELLECOUR+ELECTROSTIMULATION/data=!4m7!3m6!1s0x47f4eb5f13f04905:0x6fdb652ba6c849cf!8m2!3d45.761759!4d4.837409!16s%2Fg%2F11qwr_72g6!19sChIJBUnwE1_r9EcRz0nIpitl228?authuser=0&hl=fr&rclk=1,BODYHIT LYON 2 BELLECOUR ELECTROSTIMULATION,"4,9",106,,,https://lh3.googleusercontent.com/p/AF1QipNJwaSSAyI_i4W1xVoXLoGN0Lke6uMdAt6Ic2ek=w80h92pkno
https://www.google.fr/maps/place/Centre+de+M%C3%A9decine+Esth%C3%A9tique+Alfa+Laser+Lyon++Injections+et+Lasers/data=!4m7!3m6!1s0x47f4ea8ef5755473:0xa3cc1e3190608432!8m2!3d45.7699229!4d4.8588853!16s%2Fg%2F11btwvsy5v!19sChIJc1R19Y7q9EcRMoRgkDEezKM?authuser=0&hl=fr&rclk=1,Centre de Médecine Esthétique Alfa Laser Lyon  Injections et Lasers,"4,2",53,,,https://lh3.googleusercontent.com/p/AF1QipNplxZiicfS50IqfYSALnTBNPzWGWpod1wBmaY5=w138h92kno
https://www.google.fr/maps/place/Cabinet+m%C3%A9decine+esth%C3%A9tique+Val%C3%A9rie+Gaillard/data=!4m7!3m6!1s0x47f4eaf3732e6671:0xd48fd3db0adfd3e9!8m2!3d45.7648149!4d4.8444376!16s%2Fg%2F1tgf73xf!19sChIJcWYuc_Pq9EcR6dPfCtvTj9Q?authuser=0&hl=fr&rclk=1,Cabinet médecine esthétique Valérie Gaillard,"4,6",75,,,https://lh3.googleusercontent.com/p/AF1QipPrcMClbyJ2QnYBk9ac7l5XZal6_2hH1HbxYoF=w92h92kno
https://www.google.fr/maps/place/Beaujour+Lyon+OUEST+%28ex+CLMO%29/data=!4m7!3m6!1s0x47f4eb7c5941fa3f:0x9340b8eef9bd0899!8m2!3d45.7722396!4d4.7916321!16s%2Fg%2F11c0xd1djs!19sChIJP_pBWXzr9EcRmQi9e64QJM?authuser=0&hl=fr&rclk=1,Beaujour Lyon OUEST (ex CLMO),"4,6",369,,,https://lh3.googleusercontent.com/p/AF1QipOSzd4LQj5fQ5VTmWWzC6tE879DAjbMe6cGcU9l=w137h92kno
https://www.google.fr/maps/place/CLEAGE++Centre+laser+esth%C3%A9tique+anti%C3%A2ge/data=!4m7!3m6!1s0x47f4ea516bc613ed:0x42621c5bb115aaaa!8m2!3d45.7578954!4d4.8348333!16s%2Fg%2F1pty27vt5!19sChIJ7RPGa1Hq9EcRqqoVsVscYkI?authuser=0&hl=fr&rclk=1,CLEAGE  Centre laser esthétique antiâge,"4,3",245,,,https://lh3.googleusercontent.com/p/AF1QipNb1PWkHkT8NF332jI7cJrXxRZ0OdESqRebMjuZ=w138h92kno
https://www.google.fr/maps/place/Centre+Laser+Lyon++Epilation+Laser++M%C3%A9decine+Esth%C3%A9tique/data=!4m7!3m6!1s0x47f4eaf09a8a5cff:0x9c6864413b514132!8m2!3d45.7699808!4d4.8419348!16s%2Fg%2F1trqgklh!19sChIJ_1yKmvDq9EcRMkFRO0FkaJw?authuser=0&hl=fr&rclk=1,Centre Laser Lyon  Epilation Laser  Médecine Esthétique,"4,6",457,,,https://lh3.googleusercontent.com/p/AF1QipPvl24t543Vct0zKdFeyADEnZsDnQVi3PksUDxI=w125h92kno
https://www.google.fr/maps/place/Body+Industry++Lyon/data=!4m7!3m6!1s0x47f4eb0db62e86eb:0x12783dcc77288ce9!8m2!3d45.7612439!4d4.84517!16s%2Fg%2F11zj6bz9_r!19sChIJ64Yutg3r9EcR6Ywod8w9eBI?authuser=0&hl=fr&rclk=1,Body Industry  Lyon,5,23,,,https://lh3.googleusercontent.com/p/AF1QipMUAGhRVhWX4auc0Z3PexYEcbDbFapkwY8ORar6=w163h92kno
https://www.google.fr/maps/place/Centre+K.W++Cryolipolyse+%26+Radiofr%C3%A9quence/data=!4m7!3m6!1s0x47f4edfb7b6b3da7:0xcb3408f909bcbc42!8m2!3d45.8014367!4d4.7699653!16s%2Fg%2F11vc1ndwfw!19sChIJpz1re_vt9EcRQry8CfkINMs?authuser=0&hl=fr&rclk=1,Centre K.W  Cryolipolyse & Radiofréquence,5,13,,,https://lh3.googleusercontent.com/p/AF1QipPr2ZdVThNm04e8I6czpT9jqKFN4moRmHC6egXV=w109h92kno
"https://www.google.fr/maps/place/Lovely+Minceur+Lyon++Renata+Franca,+Accent+Prime/data=!4m7!3m6!1s0x47f4ea4e0481a99d:0x28c67092eb66a39f!8m2!3d45.7540354!4d4.8337474!16s%2Fg%2F1hc1wwmz9!19sChIJnamBBE7q9EcRn6Nm65Jwxig?authuser=0&hl=fr&rclk=1","Lovely Minceur Lyon  Renata Franca, Accent Prime","4,2",90,,,https://lh3.googleusercontent.com/p/AF1QipNUExpafq8MBNQqLPves0dgL3zxM9vi67If1iDM=w165h92kno
https://www.google.fr/maps/place/Lazeo+Lyon+PartDieu/data=!4m7!3m6!1s0x47f4ebc29874765f:0x44408a0237d7618!8m2!3d45.7641449!4d4.8531202!16s%2Fg%2F11q_nsddsj!19sChIJX3Z0mMLr9EcRGHZ9I6AIRAQ?authuser=0&hl=fr&rclk=1,Lazeo Lyon PartDieu,"4,5",422,,,https://lh3.googleusercontent.com/p/AF1QipMdAq_hUdZmTdwMMH5tkarHJ1JCkwmEPByezVh=w80h142kno
